Date,SPX,RTY,MXEA,MXEF,LBUSTRUU,LF98TRUU,FNERTR,SPGSCI,XAU ,NDX
31/12/1987,247.08,120.306,757.45,100,321.46,174.91,802.51,164.33,484.1,156.25
29/01/1988,257.07,125.323,770.13,109.42,332.76,180.76,846.49,166.63,458,159.13
29/02/1988,267.82,136.332,820.63,109.68,336.71,186.61,878.86,163.79,426.15,172.64
31/03/1988,258.89,142.497,870.17,120.64,333.55,184.67,883.23,171.2,456.95,173.26
29/04/1988,261.33,145.599,881.86,126.27,331.75,186.08,889.37,175.01,449,175.92
31/05/1988,262.16,141.426,852.69,129.62,329.52,186.36,876.25,177.99,455.5,173.34
30/06/1988,273.5,151.256,829.33,133.71,337.47,189.08,906.69,171.27,436.55,189.03
29/07/1988,272.02,149.651,854.47,129.92,335.7,190.32,916.38,169.45,436.8,181.16
31/08/1988,261.52,145.418,798.04,125.92,336.58,190.04,912.1,167.56,427.75,171
30/09/1988,271.91,149.031,832.02,133.74,344.2,192.43,917.24,162.18,397.7,179.37
31/10/1988,278.97,147.192,902.29,132.54,350.68,194.76,913.22,166.99,412.4,174.78
30/11/1988,273.7,142.034,955.06,131.76,346.42,195.91,894.73,174.01,422.6,169.19
30/12/1988,277.72,147.281,959.4,134.87,346.81,196.83,910.74,184.41,410.25,177.41
31/01/1989,297.47,153.703,975.35,132.66,351.8,200.3,930.92,181.64,394,186.47
28/02/1989,288.86,154.564,979.41,142.52,349.25,200.74,928.15,186.39,387,183.79
31/03/1989,294.87,158,959.23,155.99,350.76,199.17,932.46,197.62,383.2,185.87
28/04/1989,309.64,164.712,967.15,184.24,358.1,200.01,958.81,197.61,377.55,200.47
31/05/1989,320.52,171.516,913.6,186.08,367.51,203.89,967.76,188.54,361.8,214.55
30/06/1989,317.98,167.371,897.3,163.28,378.7,206.42,986.52,189.27,373,204.59
31/07/1989,346.08,173.632,1008.99,173.49,386.75,206.15,1022.98,179.55,368.3,214.28
31/08/1989,351.45,177.515,962.66,177,381.02,206.85,1032.42,183.95,359.8,222.01
29/09/1989,349.15,177.821,1005.5,198.98,382.97,203.37,1022.76,193.22,366.5,226.42
31/10/1989,340.36,167.09,964.1,201.31,392.4,198.55,996.38,189.81,375.3,222.62
30/11/1989,345.99,167.919,1011.55,191.64,396.14,198.16,993.25,192.05,408.15,224.44
29/12/1989,353.4,168.228,1047.86,214.7,397.2,198.47,991.26,207.25,401.25,223.84
31/01/1990,329.08,153.333,1007.8,221.27,392.48,194.21,950.14,198.83,415.05,201.94
28/02/1990,331.89,157.799,936.39,229.76,393.75,190.2,943.47,195.94,407.7,207.92
30/03/1990,339.94,163.69,837.74,197.85,394.04,195.19,952.88,198.61,368.5,213.15
30/04/1990,330.8,158.157,830,210.66,390.43,194.86,936.32,193.94,367.75,205.81
31/05/1990,361.23,169.061,923.6,227.6,401.99,198.62,935.6,189.81,363.05,236.15
29/06/1990,358.02,169.166,914.3,235.14,408.44,203.42,951.76,184.18,352.2,238.46
31/07/1990,356.15,161.505,925.96,255.21,414.09,208.9,943.09,196.8,372.3,223.39
31/08/1990,322.56,139.6,834.82,221.94,408.56,197.01,875.17,225.45,387.75,193.62
28/09/1990,306.05,126.993,717.24,193.09,411.94,182.63,813.28,270.19,408.4,177.06
31/10/1990,304,119.046,827.71,189.25,417.17,173.04,785.86,249.37,379.5,172.56
30/11/1990,322.22,127.806,777.6,178.96,426.15,178.44,841.63,227.61,384.85,192.66
31/12/1990,330.22,132.401,788.98,185.16,432.79,179.44,839.09,219.97,382.8,200.53
31/01/1991,343.93,144.183,813.17,200.19,438.14,184.37,930.88,194.4476,366,232.43
28/02/1991,367.07,159.96,899.06,229.63,441.88,204.54,947.73,191.2345,362.7,250.12
29/03/1991,375.22,171.01,843.88,238.23,444.92,216.59,1029.89,194.1259,355.65,264.9
30/04/1991,375.35,170.333,851.01,238.95,449.74,225.47,1055.97,195.998,357.75,263.65
31/05/1991,389.83,178.147,858.71,256.97,452.37,225.88,1067.71,192.89,360.4,279
28/06/1991,371.16,167.512,794.46,247.27,452.14,232.56,1037.91,185.4473,368.35,254.19
31/07/1991,387.81,173.121,832.3,259.51,458.41,240,1058.85,191.8876,362.85,272.15
30/08/1991,395.43,179.193,814.18,264.27,468.33,245.52,1054.57,192.6421,347.4,287.4
30/09/1991,387.86,180.328,858.85,253.84,477.82,248.94,1080.39,193.9276,354.9,287.54
31/10/1991,392.46,184.899,869.77,263.96,483.14,257.25,1068.52,198.5509,357.45,292.51
